dm32          sin^2(theta23)  DeltaChi2 
0.0019946     0.395            8.377 
0.0019946     0.405            7.760 
0.0019946     0.415            7.258 
0.0019946     0.425            6.856 
0.0019946     0.435            6.541 
0.0019946     0.445            6.299 
0.0019946     0.455            6.121 
0.0019946     0.465            5.997 
0.0019946     0.475            5.918 
0.0019946     0.485            5.878 
0.0019946     0.495            5.875 
0.0019946     0.505            5.904 
0.0019946     0.515            5.966 
0.0019946     0.525            6.063 
0.0019946     0.535            6.198 
0.0019946     0.545            6.376 
0.0019946     0.555            6.605 
0.0019946     0.565            6.894 
0.0019946     0.575            7.252 
0.0019946     0.585            7.693 
0.0019946     0.595            8.229 
0.0019946     0.605            8.875 
0.0019946     0.615            9.647 
0.0019946     0.625           10.560 
0.0019946     0.635           11.632 
0.0019946     0.645           12.879 
0.0019946     0.655           14.320 
0.0019946     0.665           15.971 
0.0019946     0.675           17.849 
0.0019946     0.685           19.971 
0.0019946     0.695           22.354 
0.0019946     0.705           25.011 
0.0019946     0.715           27.958 
0.0019946     0.725           31.207 
0.0019946     0.735           34.770 
0.0019946     0.745           38.659 
0.0020306     0.245           41.200 
0.0020306     0.255           36.924 
0.0020306     0.265           32.986 
0.0020306     0.275           29.378 
0.0020306     0.285           26.088 
0.0020306     0.295           23.107 
0.0020306     0.305           20.420 
0.0020306     0.315           18.014 
0.0020306     0.325           15.875 
0.0020306     0.335           13.986 
0.0020306     0.345           12.331 
0.0020306     0.355           10.893 
0.0020306     0.365            9.654 
0.0020306     0.375            8.597 
0.0020306     0.385            7.705 
0.0020306     0.395            6.960 
0.0020306     0.405            6.346 
0.0020306     0.415            5.847 
0.0020306     0.425            5.448 
0.0020306     0.435            5.135 
0.0020306     0.445            4.895 
0.0020306     0.455            4.718 
0.0020306     0.465            4.593 
0.0020306     0.475            4.512 
0.0020306     0.485            4.471 
0.0020306     0.495            4.463 
0.0020306     0.505            4.488 
0.0020306     0.515            4.544 
0.0020306     0.525            4.634 
0.0020306     0.535            4.760 
0.0020306     0.545            4.929 
0.0020306     0.555            5.147 
0.0020306     0.565            5.424 
0.0020306     0.575            5.771 
0.0020306     0.585            6.199 
0.0020306     0.595            6.722 
0.0020306     0.605            7.356 
0.0020306     0.615            8.114 
0.0020306     0.625            9.015 
0.0020306     0.635           10.075 
0.0020306     0.645           11.311 
0.0020306     0.655           12.741 
0.0020306     0.665           14.384 
0.0020306     0.675           16.255 
0.0020306     0.685           18.372 
0.0020306     0.695           20.751 
0.0020306     0.705           23.408 
0.0020306     0.715           26.356 
0.0020306     0.725           29.610 
0.0020306     0.735           33.181 
0.0020306     0.745           37.079 
0.0020666     0.245           40.030 
0.0020666     0.255           35.737 
0.0020666     0.265           31.786 
0.0020666     0.275           28.166 
0.0020666     0.285           24.868 
0.0020666     0.295           21.880 
0.0020666     0.305           19.189 
0.0020666     0.315           16.781 
0.0020666     0.325           14.641 
0.0020666     0.335           12.753 
0.0020666     0.345           11.100 
0.0020666     0.355            9.665 
0.0020666     0.365            8.431 
0.0020666     0.375            7.379 
0.0020666     0.385            6.491 
0.0020666     0.395            5.751 
0.0020666     0.405            5.142 
0.0020666     0.415            4.648 
0.0020666     0.425            4.252 
0.0020666     0.435            3.942 
0.0020666     0.445            3.705 
0.0020666     0.455            3.529 
0.0020666     0.465            3.404 
0.0020666     0.475            3.322 
0.0020666     0.485            3.278 
0.0020666     0.495            3.267 
0.0020666     0.505            3.287 
0.0020666     0.515            3.336 
0.0020666     0.525            3.418 
0.0020666     0.535            3.535 
0.0020666     0.545            3.694 
0.0020666     0.555            3.901 
0.0020666     0.565            4.166 
0.0020666     0.575            4.499 
0.0020666     0.585            4.913 
0.0020666     0.595            5.422 
0.0020666     0.605            6.041 
0.0020666     0.615            6.784 
0.0020666     0.625            7.670 
0.0020666     0.635            8.716 
0.0020666     0.645            9.938 
0.0020666     0.655           11.356 
0.0020666     0.665           12.986 
0.0020666     0.675           14.847 
0.0020666     0.685           16.956 
0.0020666     0.695           19.328 
0.0020666     0.705           21.980 
0.0020666     0.715           24.926 
0.0020666     0.725           28.180 
0.0020666     0.735           31.754 
0.0020666     0.745           35.659 
0.0021026     0.245           39.014 
0.0021026     0.255           34.709 
0.0021026     0.265           30.747 
0.0021026     0.275           27.120 
0.0021026     0.285           23.817 
0.0021026     0.295           20.826 
0.0021026     0.305           18.134 
0.0021026     0.315           15.726 
0.0021026     0.325           13.589 
0.0021026     0.335           11.704 
0.0021026     0.345           10.055 
0.0021026     0.355            8.626 
0.0021026     0.365            7.397 
0.0021026     0.375            6.351 
0.0021026     0.385            5.470 
0.0021026     0.395            4.736 
0.0021026     0.405            4.133 
0.0021026     0.415            3.643 
0.0021026     0.425            3.253 
0.0021026     0.435            2.947 
0.0021026     0.445            2.712 
0.0021026     0.455            2.538 
0.0021026     0.465            2.413 
0.0021026     0.475            2.331 
0.0021026     0.485            2.284 
0.0021026     0.495            2.270 
0.0021026     0.505            2.284 
