dm32           sin^2(theta23)  DeltaChi2 
-0.0021454     0.485            1.754 
-0.0021454     0.495            1.740 
-0.0021454     0.505            1.757 
-0.0021454     0.515            1.807 
-0.0021454     0.525            1.893 
-0.0021454     0.535            2.019 
-0.0021454     0.545            2.192 
-0.0021454     0.555            2.421 
-0.0021454     0.565            2.716 
-0.0021454     0.575            3.089 
-0.0021454     0.585            3.552 
-0.0021454     0.595            4.120 
-0.0021454     0.605            4.809 
-0.0021454     0.615            5.634 
-0.0021454     0.625            6.613 
-0.0021454     0.635            7.763 
-0.0021454     0.645            9.101 
-0.0021454     0.655           10.645 
-0.0021454     0.665           12.413 
-0.0021454     0.675           14.420 
-0.0021454     0.685           16.684 
-0.0021454     0.695           19.220 
-0.0021454     0.705           22.042 
-0.0021454     0.715           25.164 
-0.0021454     0.725           28.599 
-0.0021454     0.735           32.356 
-0.0021454     0.745           36.446 
-0.0021814     0.245           36.112 
-0.0021814     0.255           31.945 
-0.0021814     0.265           28.120 
-0.0021814     0.275           24.628 
-0.0021814     0.285           21.456 
-0.0021814     0.295           18.591 
-0.0021814     0.305           16.021 
-0.0021814     0.315           13.729 
-0.0021814     0.325           11.699 
-0.0021814     0.335            9.914 
-0.0021814     0.345            8.357 
-0.0021814     0.355            7.010 
-0.0021814     0.365            5.855 
-0.0021814     0.375            4.874 
-0.0021814     0.385            4.049 
-0.0021814     0.395            3.362 
-0.0021814     0.405            2.796 
-0.0021814     0.415            2.337 
-0.0021814     0.425            1.969 
-0.0021814     0.435            1.678 
-0.0021814     0.445            1.453 
-0.0021814     0.455            1.284 
-0.0021814     0.465            1.160 
-0.0021814     0.475            1.076 
-0.0021814     0.485            1.027 
-0.0021814     0.495            1.009 
-0.0021814     0.505            1.021 
-0.0021814     0.515            1.064 
-0.0021814     0.525            1.142 
-0.0021814     0.535            1.258 
-0.0021814     0.545            1.421 
-0.0021814     0.555            1.638 
-0.0021814     0.565            1.919 
-0.0021814     0.575            2.277 
-0.0021814     0.585            2.725 
-0.0021814     0.595            3.278 
-0.0021814     0.605            3.950 
-0.0021814     0.615            4.758 
-0.0021814     0.625            5.720 
-0.0021814     0.635            6.853 
-0.0021814     0.645            8.175 
-0.0021814     0.655            9.703 
-0.0021814     0.665           11.455 
-0.0021814     0.675           13.448 
-0.0021814     0.685           15.698 
-0.0021814     0.695           18.222 
-0.0021814     0.705           21.034 
-0.0021814     0.715           24.148 
-0.0021814     0.725           27.576 
-0.0021814     0.735           31.330 
-0.0021814     0.745           35.418 
-0.0022174     0.245           35.494 
-0.0022174     0.255           31.323 
-0.0022174     0.265           27.496 
-0.0022174     0.275           24.003 
-0.0022174     0.285           20.833 
-0.0022174     0.295           17.971 
-0.0022174     0.305           15.405 
-0.0022174     0.315           13.118 
-0.0022174     0.325           11.094 
-0.0022174     0.335            9.317 
-0.0022174     0.345            7.768 
-0.0022174     0.355            6.429 
-0.0022174     0.365            5.282 
-0.0022174     0.375            4.309 
-0.0022174     0.385            3.491 
-0.0022174     0.395            2.812 
-0.0022174     0.405            2.253 
-0.0022174     0.415            1.800 
-0.0022174     0.425            1.437 
-0.0022174     0.435            1.151 
-0.0022174     0.445            0.930 
-0.0022174     0.455            0.762 
-0.0022174     0.465            0.639 
-0.0022174     0.475            0.554 
-0.0022174     0.485            0.503 
-0.0022174     0.495            0.481 
-0.0022174     0.505            0.488 
-0.0022174     0.515            0.524 
-0.0022174     0.525            0.593 
-0.0022174     0.535            0.700 
-0.0022174     0.545            0.851 
-0.0022174     0.555            1.056 
-0.0022174     0.565            1.324 
-0.0022174     0.575            1.667 
-0.0022174     0.585            2.099 
-0.0022174     0.595            2.635 
-0.0022174     0.605            3.290 
-0.0022174     0.615            4.081 
-0.0022174     0.625            5.025 
-0.0022174     0.635            6.140 
-0.0022174     0.645            7.443 
-0.0022174     0.655            8.954 
-0.0022174     0.665           10.688 
-0.0022174     0.675           12.665 
-0.0022174     0.685           14.901 
-0.0022174     0.695           17.410 
-0.0022174     0.705           20.210 
-0.0022174     0.715           23.312 
-0.0022174     0.725           26.731 
-0.0022174     0.735           30.477 
-0.0022174     0.745           34.560 
-0.0022534     0.245           35.046 
-0.0022534     0.255           30.875 
-0.0022534     0.265           27.049 
-0.0022534     0.275           23.559 
-0.0022534     0.285           20.392 
-0.0022534     0.295           17.536 
-0.0022534     0.305           14.976 
-0.0022534     0.315           12.696 
-0.0022534     0.325           10.680 
-0.0022534     0.335            8.911 
-0.0022534     0.345            7.370 
-0.0022534     0.355            6.040 
-0.0022534     0.365            4.902 
-0.0022534     0.375            3.938 
-0.0022534     0.385            3.129 
-0.0022534     0.395            2.457 
-0.0022534     0.405            1.906 
-0.0022534     0.415            1.460 
-0.0022534     0.425            1.102 
-0.0022534     0.435            0.821 
-0.0022534     0.445            0.602 
-0.0022534     0.455            0.436 
-0.0022534     0.465            0.314 
-0.0022534     0.475            0.229 
-0.0022534     0.485            0.175 
-0.0022534     0.495            0.149 
-0.0022534     0.505            0.151 
-0.0022534     0.515            0.180 
-0.0022534     0.525            0.241 
-0.0022534     0.535            0.338 
-0.0022534     0.545            0.478 
-0.0022534     0.555            0.669 
-0.0022534     0.565            0.923 
-0.0022534     0.575            1.251 
-0.0022534     0.585            1.668 
-0.0022534     0.595            2.186 
-0.0022534     0.605            2.823 
-0.0022534     0.615            3.596 
-0.0022534     0.625            4.521 
-0.0022534     0.635            5.617 
-0.0022534     0.645            6.902 
-0.0022534     0.655            8.393 
-0.0022534     0.665           10.110 
-0.0022534     0.675           12.068 
-0.0022534     0.685           14.287 
-0.0022534     0.695           16.780 
-0.0022534     0.705           19.565 
-0.0022534     0.715           22.653 
-0.0022534     0.725           26.060 
-0.0022534     0.735           29.795 
-0.0022534     0.745           33.869 
-0.0022894     0.245           34.759 
-0.0022894     0.255           30.591 
-0.0022894     0.265           26.769 
-0.0022894     0.275           23.284 
